Name,Developer,Genre,ReleaseDate,ID
Cyberpunk 2077,CD Projekt RED,RPG,10/12/2020,1
Valorant,Riot Games,first-person shooter,02/06/2020,4
World of Warcraft,Blizzard Entertainment,MMORPG,23/11/2004,5
Overwatch,Blizzard Entertainment,first-person shooter,27/11/2015,6
Runescape,Jagex,MMORPG,04/01/2001,7
Guildwars2,ArenaNet,MMORPG,28/08/2012,8
Counter-Strike: Global Offensive,Valve,first-person shooter,21/09/2012,9
The Witcher 3: Wild Hunt,CD Projekt RED,ARPG,18/05/2015,10
DOOM Eternal,id Software,first-person shooter,20/03/2020,11
Minecraft,Mojang,sandbox,17/05/2009,12
Grand Theft Auto V,Rockstar Games,action-adventure,17/09/2013,13
The Elder Scrolls V: Skyrim,Bethesda,RPG,11/11/2011,14
Duck Hunt,Nintendo,sports,05/05/1950,16
Tekken 7,Bandai Namco,fighting,15/03/2015,17
Tetris,Russia,puzzle,05/05/2020,20
Divinity: Original Sin,Larian Studios,RPG,30/06/2014,21
Among Us,InnerSloth,social,15/06/2018,22
Warframe,Digital Extremes,Action,25/03/2013,23
Hearthstone,Blizzard Entertainment,cardgame,11/03/2014,24
Diablo II,Blizzard Entertainment,ARPG,29/06/2000,25
Starcraft: Brood War,Blizzard Entertainment,RTS,18/12/1998,26
Age of Empires II,Ensemble Studios,RTS,30/09/1999,27
Angry Birds,Rovio Entertainment,puzzle,10/12/2009,28
Dota 2,Valve,MOBA,09/07/2013,29
Ghost of Tsushima,Sucker Punch,action-adventure,17/07/2020,30
Half-Life 2,Valve,first-person shooter,16/11/2004,31
God of War,Santa Monica,action-adventure,20/04/2018,32
